Lat / Long
"39.743121, -105.521499"
"39.628511, -106.067266 "
"39.397492, -107.214740"
"37.277638, -107.880574"
"37.263609, -108.492582"
"36.954046, -111.489139"
"33.874478, -115.810405"
"33.155707, -117.352057"
"32.505948, -117.061474"
"22.872540, -109.928364"
"23.227757, -106.429712"
"16.817040, -99.856103"
"15.658860, -96.501925"
"16.193346, -95.074477"
"16.165918, -94.077100"
"14.545159, -92.211008"
"13.786951, -90.183275"
"13.548133, -89.814928"
"13.498637, -89.313078"
"13.184087, -87.949284"
"13.429742, -87.746278"
"13.060804, -87.259520"
"12.608011, -87.237027"
"11.129625, -85.747018"
"10.856403, -85.689754"
"9.554147, -84.457591"
"8.889377, -83.523502"
"8.406767, -82.703982"
"7.855053, -80.899055"
"9.365174, -79.903176"
"10.394884, -75.497677"
"6.248491, -75.566720"
"4.707049, -74.069670"
"3.446113, -76.535528"
"-0.189941, -78.482862"
"-6.513933, -80.300211"
"-9.069937, -78.589111"
"-15.362895, -74.984968"
"-16.031914, -69.415130"
"-16.485010, -68.121835"
"-22.070769, -65.600757"
"-32.923246, -68.834292"
"-33.093448, -71.571199"
"-41.318087, -72.984055"
"-42.639860, -73.803408"
"-53.179130, -70.944379"
"-53.896093, -71.304370"
